epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1231.65,2.87379,1.85099,1.09682,0.45797,0.45728,0.32927,0.09749,2.2379,1.56004,0.92453,0.008515,0.008515,0.008515
47,1258.87,2.83362,1.88214,1.11329,0.36367,0.31551,0.18508,0.06217,2.64863,1.5904,0.96584,0.008482,0.008482,0.008482
48,1286.22,2.84278,1.87639,1.15249,0.57696,0.47488,0.33998,0.12743,2.33028,1.44241,0.92167,0.008449,0.008449,0.008449
49,1313.61,2.88526,1.96499,1.20932,0.62941,0.36224,0.2799,0.10456,2.28044,1.45995,0.9382,0.008416,0.008416,0.008416
50,1340.93,2.86076,1.81441,1.09004,0.57333,0.45591,0.31678,0.09176,2.50058,1.50499,0.9274,0.008383,0.008383,0.008383
51,1368.77,2.89582,1.85338,1.12677,0.43168,0.39416,0.35751,0.12617,2.19178,1.59127,0.91642,0.00835,0.00835,0.00835
52,1396.41,2.85228,1.90012,1.18593,0.34313,0.32448,0.20183,0.04618,2.75971,1.77789,0.96524,0.008317,0.008317,0.008317
53,1423.95,2.73112,1.7915,1.096,0.43075,0.36955,0.36914,0.11992,2.32942,1.6826,0.93146,0.008284,0.008284,0.008284
54,1451.07,2.73149,1.82333,1.12521,0.44727,0.5023,0.38842,0.13353,2.32183,1.47121,0.91105,0.008251,0.008251,0.008251
55,1478.5,2.70043,1.72428,1.0615,0.61877,0.43694,0.423,0.15666,2.24962,1.37456,0.91928,0.008218,0.008218,0.008218
56,1506.1,2.66612,1.81919,1.15204,0.52393,0.43582,0.40399,0.13204,2.3061,1.41082,0.92157,0.008185,0.008185,0.008185
57,1533.63,2.64107,1.82328,1.13364,0.4671,0.54991,0.37887,0.168,1.99026,1.3596,0.89335,0.008152,0.008152,0.008152
